,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
562,2abee997-c576-4956-b652-8153fb9b8e64,Ragav Reddy,https://play-lh.googleusercontent.com/a-/ALV-UjXAVJieW9L_U0pZlzW9pV4WiVGJTdrD-x0J-sN56PzmBKw4L2g,Nice,5,0,7.1.5.596544668,2024-08-11 21:39:54,,,7.1.5.596544668
563,cd9c6206-b540-41af-8035-5cbaf1f5b4c8,Durgesh Yadav,https://play-lh.googleusercontent.com/a-/ALV-UjXuhRNl-KxB1WMufeN-GDarY9Rv87A2qn8DRXnimEVF4vX7SQ,❣️❣️❣️,5,0,,2024-08-11 21:37:59,,,
564,22c047dd-6c30-471d-9a19-0b777a18c70a,Manoj Kumar,https://play-lh.googleusercontent.com/a-/ALV-UjUIxzT4csSyplDrMxwJ6Wdh3CXjlNsmyDjh_TjHvRNZ4wAzzH1j,Amazing app,5,0,7.1.5.633808517,2024-08-11 21:25:06,,,7.1.5.633808517
565,c8320cbc-4261-4824-aeb5-0a9343361bc7,Shaikh Ayan,https://play-lh.googleusercontent.com/a/ACg8ocLe_kzb4xUXQoZ_amIM7yq4fudOTsD1K93lCnlPBRz_TI1_Ew=mo,Good,5,0,7.1.5.633808517,2024-08-11 21:22:42,,,7.1.5.633808517
566,594a7768-a45a-45ed-8d51-6942fc21bbf0,Ravat Beeraladinni,https://play-lh.googleusercontent.com/a-/ALV-UjVxwb6L_ltz9Tjj2o0H5BTYx5_ikw42cEYONVVF5LsSG5S6YTk,Good information very useful,5,0,7.1.5.633808517,2024-08-11 21:22:37,,,7.1.5.633808517
567,04fc4693-45a7-4fc1-b392-2c8ff2bfcf2a,aman singh,https://play-lh.googleusercontent.com/a-/ALV-UjUkuOAc_sEntxRQ4MIDdLtwzwu2PDbrsYVNSviGaiI-ZbTUO8r0,Very helpful and real application 👍,5,0,7.1.5.633808517,2024-08-11 21:22:27,,,7.1.5.633808517
568,d6845132-a813-47d3-b77c-8543dfcca4d6,ram prasad,https://play-lh.googleusercontent.com/a/ACg8ocJxoBk93Rm9HYzqPIAIONG-gmGETjQbHEIgtOpNY1iTOwk8-A=mo,Good app,5,0,7.1.5.633808517,2024-08-11 21:20:02,,,7.1.5.633808517
569,920f5c4d-de54-4587-b5e5-7b074e1664dd,Prem Prakash Kumar,https://play-lh.googleusercontent.com/a/ACg8ocI7r7IzmkW4zYFy4x7InDYzR9vo95z2i9n5XgPHIv2e3EbkZw=mo,Good,5,0,,2024-08-11 21:13:44,,,
570,9e420c03-164b-448b-b6ba-c0034b1fe599,SINGH JI FANS CLUB,https://play-lh.googleusercontent.com/a-/ALV-UjWAOh_XK05EnpIw5lwpK1HZCVUmHmcSLRR5XGAAYssf9Vyz04IY,Network issue 😞,5,0,7.1.5.633808517,2024-08-11 21:09:03,,,7.1.5.633808517
571,831adc60-f4a8-4b4d-9905-a2d9c765c9dd,SUKUMAR MOHANTY,https://play-lh.googleusercontent.com/a/ACg8ocLUkE0E5HAGfFIXtw8erPb0driHyYGr71zPytMssb3c-K-n5A=mo,Fantastic . Reliable .,5,0,7.1.5.633808517,2024-08-11 21:05:16,,,7.1.5.633808517
